CLOSED DATE,OPEID,SCHOOL NAME                                                        ,LOCATION                                                       ,ADDRESS                                                       ,CITY          ,STATE,ZIP CODE,COUNTRY (FOREIGN)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
3/24/09,229218,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,PROFESSIONAL ENGINEERING 2430 ROCHESTER CT.,TROY,MI,48083-1872,
3/24/09,229219,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,SMITH ENGINEERING 4500 PRIME PARKWAY,MCHENRY,IL,60050-2136,
3/24/09,229220,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,OMM ENGINEERING 1680 EAST PARIS SE,GRAND RAPIDS,MI,49546-8809,
3/24/09,229221,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,ZEIMET-WOZNIAK 10416 E GRABD RIVER SUITE 500,BRIGHTON,MI,48116-6523,
3/24/09,229222,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,LEHNER ASSOC. INC. 17001 19 MILE ROAD  SUITE 3,CLINTON TWP.,MI,48038-1203,
3/24/09,229223,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,GRANGER & ASSOC. 1140 WEST LAKE ST.,TAWAS CITY,MI,48763-9304,
3/24/09,229224,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,U. S. FOREST SERVICE 2727 NORTH LINCOLN,ESCANABA,MI,49829-9569,
3/24/09,229225,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,HOLLAND ENGINEERING 418 EAST 8TH STREET,HOLLAND,MI,49423-3751,
3/24/09,229226,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,IDA HIGH SCHOOL 3145 PRARIE STREET,IDA,MI,48140-9778,
3/24/09,229227,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,G. STANLEY & ASSOC. 8475 BRIDGE ROAD,GROSSE ILE,MI,48138-1021,
3/24/09,229228,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,6727 SAGINAW STREET,NORTH BRANCH,MI,48461-0247,
3/24/09,229229,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,M-E COMPANIES INC. 635 BROOKSEDGE BLVD.,WESTERVILLE,OH,43081-2817,
3/24/09,229230,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,MICHALICH CIVIL ENGINEERING 2359 AVON INDUSTRIAL DRIVE,ROCHESTER HILLS,MI,48309-3622,
3/24/09,229231,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,BMJ ENGINEERS & SURVEYORS 519 HURON AVENUE,PORT HURON,MI,48060-3805,
3/24/09,229232,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,DAVID ADAMS & SONS 25517 5 MILE ROAD,REDFORD,MI,48239-3228,
3/24/09,229233,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,APPLEWOOD VILLAGE 1063 S. STATE  SUITE 9,DAVISON,MI,48423-1900,
3/24/09,229234,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,ATWELL HICKS 123 BRIGHTON LAKE ROAD,BRIGHTON,MI,48116-6772,
3/24/09,229235,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,REYNOLDS LAND SURVEYING 505 WEST APPLE,HASTINGS,MI,49058-1604,
3/24/09,229236,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,GROTHMAN & ASSOC 625 EAST SLIFER,PORTAGE,WI,53901-1223,
3/24/09,229237,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,GREG ASH SURVEYING 1158 SOUTH MAIN STREET,PLYMOUTH,MI,48170-2214,
3/24/09,229238,MICHIGAN TECHNOLOGICAL UNIVERSITY,MICHIGAN TECHNOLOGICAL UNIVERSITY -,TR VALENTINE 920 SEVENTH STREET,PORT HURON,MI,48060-5395,
3/25/88,765700,AMERICANA BEAUTY ACADEMY,AMERICANA BEAUTY ACADEMY,518 GRAND AVENUE,DES MOINES,IA,50309,
3/25/88,2092614,PTC CAREER INSTITUTE,PTC CAREER INSTITUTE,9560 NORTH FLORIDA AVENUE,TAMPA,FL,33612-0000,
3/25/89,772600,AMERICAN BEAUTY COLLEGE,AMERICAN BEAUTY COLLEGE,3700 UNIVERSITY AVENUE,MADISON,WI,53705,
3/25/94,2171000,COSMETOLOGY CAREER UNLIMITED,COSMETOLOGY CAREER UNLIMITED,4031 GRAND AVE,DULUTH,MN,55807,
3/25/94,2318300,AMERICAN CAREER ACADEMY,AMERICAN CAREER ACADEMY,15160 WEST EIGHT MILE ROAD,OAK PARK,MI,48237,
3/25/95,2089703,HERZING UNIVERSITY,HERZING COLLEGE OF BUSINESS & TECHNOLOGY-LEE CORRECTIONAL INST,,LEESBURG,GA,30308,
3/25/95,2089708,HERZING UNIVERSITY,HERZING COLLEGE OF BUSINESS & TECHNOLOGY - MILAN WOMEN'S CENTER,,MILAN,GA,31060,
3/25/97,348401,COVENANT COLLEGE,COVENANT COLLEGE - CHATTANOOGA REGIONAL HISTORY MUSEUM,400 CHESTNUT STREET,CHATTANOOGA,TN,37402-4999,
3/25/97,2314109,SCHILLER INTERNATIONAL UNIVERSITY,SCHILLER INTERNATIONAL UNIVERSITY - BERLIN CAMPUS,CHAUSEE STREET 11,BERLIN,,,GERMANY
3/25/98,2612900,REMINGTON COLLEGE,REMINGTON COLLEGE,6130 EAST CENTRAL SUITE 202,WICHITA,KS,67208-4243,
3/25/99,145915,STRAYER UNIVERSITY,STRAYER UNIVERSITY - DEPARTMENT OF TRANSPORTATION,400 7TH STREET S.W,WASHINGTON,DC,20590-0003,
3/25/04,3023302,VATTEROTT COLLEGE,VATTEROTT COLLEGE - BRANCH,225 NORTH 80TH STREET,OMAHA,NE,68114-3617,
3/25/11,3595400,ANGLEY COLLEGE,ANGLEY COLLEGE,1700 SOUTH WOODLAND BOULEVARD,DELAND,FL,32720-4257,
3/26/90,1183003,BERK TRADE & BUSINESS SCHOOL,BERK TRADE & BUSINESS SCHOOL,333 WEST 38TH STREET,NEW YORK,NY,10018,
3/26/90,2293000,CHICHASHA BEAUTY COLLEGE (CLOSED),CHICHASHA BEAUTY COLLEGE (CLOSED),901 SOUTH 4TH,CHICKASHA,OK,73036,
3/26/90,2352900,AMERICAN BUSINESS INSTITUTE (CLOSED),AMERICAN BUSINESS INSTITUTE (CLOSED),1212 CHESTNUT STREET 2ND FLOOR,PHILADELPHIA,PA,19107,
3/26/91,1284603,LAWTON SCHOOL FOR MEDICAL AND DENTAL ASSISTANTS,BRANCH CAMPUS,1440 CANAL ST 12TH FL,NEW ORLEANS,LA,70112,
3/26/92,449204,WATTERSON COLLEGE,BRANCH CAMPUS,1835 S LA CIENAGA BLVD,LOS ANGELES,CA,90035,
3/26/92,493500,EDMONDSON JUNIOR COLLEGE,EDMONDSON JUNIOR COLLEGE,3635 BRAINERD ROAD,CHATTANOOGA,TN,37411,
3/26/92,493501,EDMONDSON JUNIOR COLLEGE,BRANCH CAMPUS,1161 MURFREESBORO RD,NASHVILLE,TN,37217,
3/26/92,493502,EDMONDSON JUNIOR COLLEGE,EXTENTION,109 NORTHGATE COMM CTR,CHATTANOOGA,TN,37343,
3/26/92,945700,GEORGE ROGERS CLARK COLLEGE,GEORGE ROGERS CLARK COLLEGE,1840 NORTH MERIDAN STREET,INDIANAPOLIS,IN,46202,
3/26/92,945701,GEORGE ROGERS CLARK COLLEGE,CLARK COLG LEVINGTON SKILLS CTR,6000 E 46TH ST,INDIANAPOLIS,IN,46226,
3/26/92,2190000,HARDING BUSINESS COLLEGE,HARDING BUSINESS COLLEGE,1988 MCCARTNEY ROAD,YOUNGSTOWN,OH,44505,
3/26/93,767700,PRO SCHOOLS,PRO SCHOOLS,306 5TH STREET,RACINE,WI,53403,
3/26/93,1022500,UNIVERSITY OF MINNESOTA WASECA,UNIVERSITY OF MINNESOTA WASECA,1000 UNIVERSITY DRIVE SOUTHWEST,WASECA,MN,56093,
3/26/99,1096900,ALADDIN BEAUTY COLLEGE #13,ALADDIN BEAUTY COLLEGE #13,1663 WEST HENDERSON SUITE 1,CLEBURNE,TX,76031-1013,
3/26/99,2508700,OMNI TECHNICAL SCHOOL,OMNI TECHNICAL SCHOOL,2242 WEST BROWARD BOULEVARD,FORT LAUDERDALE,FL,33312-1460,
3/26/03,238052,SAINT MARY'S UNIVERSITY OF MINNESOTA,SAINT MARY'S UNIVERSITY OF MINNESOTA - FOLEY HIGH SCHOOL,621 PENN STREET,FOLEY,MN,56329-0000,
3/26/03,2167601,KAPLAN COLLEGE,DENVER PARALEGAL INSTITUTE - COLORADO SPRINGS,8 SOUTH NEVADA AVENUE SUITE 101,COLORADO SPRINGS,CO,80903-2022,
3/26/04,3113107,MARIC COLLEGE,MARCI COLLEGE - SAN MARCOS,2022 UNIVERSITY DRIVE,VISTA,CA,92083-7736,
3/26/11,905858,BETHEL UNIVERSITY,BETHEL UNIVERSITY - SITE 058,THE INN ON LAKE SUPERIOR 350 CANAL PARK DR,DULUTH,MN,55802-2316,
3/26/11,905867,BETHEL UNIVERSITY,BETHEL UNIVERSITY - SITE 67,UNIVERSITY CENTER ROCHESTER 851 30TH AVENUE SOUTHEAST,ROCHESTER,MN,55904-4915,
3/27/92,1047804,BLANTOS COLLEGE,BRANCH CAMPUS,145 N CHURCH ST,SPARTANBURG,SC,29301,
3/27/92,1121900,COLUMBIA SCHOOL OF BROADCASTING HOME STUDY,COLUMBIA SCHOOL OF BROADCASTING HOME STUDY,2840 E FLAMINGO RD STE F,LAS VEGAS,NV,89121,
3/27/92,1121902,COLUMBIA SCHOOL OF BROADCASTING HOME STUDY,COLUMBIA SCHOOL OF BROADCASTING,6520 WADSWORTH BOULEVARD #190,ARVADO,CO,80003,
3/27/92,2262255,NATIONAL ACADEMY FOR PARALEGAL STUDIES,AUXILIARY CLASSROOM ST LEO,STAT RD 52 W,ST LEO,FL,33574,
3/27/92,2288254,AMERICAN INSTITUTE FOR PARALEGAL STUDIES,AUX CLASSRM FORMERLY: MIAMI-DADE CC 11380 NW 27TH AVE MIAMI FL,1780 W 49TH STE 315,HIALEAH,FL,33010,
3/27/95,342210,SOUTHERN WESLEYAN UNIVERSITY,SOUTHERN WESLEYAN UNIVERSITY - HARTWELL SITE,200 MCINTYRE DRIVE,HARTWELL,GA,30643-0726,
3/27/00,2589101,AMERICAN COLLEGE OF BUSINESS,AMERICAN COLLEGE OF BUSINESS - LOS ANGELES,3540 WILSHIRE BOULEVARD #1100,LOS ANGELES,CA,90010-2307,
3/27/00,3151300,SUCCESS INSTITUTE OF BUSINESS,SUCCESS INSTITUTE OF BUSINESS,10700 NORTHWEST FREEWAY #350,HOUSTON,TX,77092-7302,
3/28/90,2348400,AMERICAN VOCATIONAL SCHOOL,AMERICAN VOCATIONAL SCHOOL,2900 WEST 12TH AVENUE 3RD FLOOR,HIALEAH,FL,33012,
3/28/91,1156900,HUNTSVILLE COOPERATIVE SCHOOL OF MEDICAL TECHNICAL,HUNTSVILLE COOPERATIVE SCHOOL OF MEDICAL TECHNICAL,101 SIVLEY ROAD,HUNTSVILLE,AL,35801,
3/28/91,2305100,ACADIANA TECHNICAL COLLEGE,ACADIANA TECHNICAL COLLEGE,500 AMBASSADOR CAFFERY PARKWAY,SCOTT,LA,70583,
3/28/96,2521100,INST DE ARTE MODERNO,INST DE ARTE MODERNO,MONSERRATE AVE FR5 VILLA FONT,CAROLINA,PR,630,
3/28/02,775200,JON LOUIS SCHOOL OF BEAUTY,JON LOUIS SCHOOL OF BEAUTY,21 NORTH OCEAN AVENUE,PATCHOGUE,NY,11772-2001,
3/28/03,708504,MOUNT VERNON NAZARENE UNIVERSITY,MOUNT VERNON NAZARENE UNIVERSITY - ADULT AND GRADUATE STUDIES,179TH AW/DP 1947 HARRINGTON MEMORIAL ROAD,MANSFIELD,OH,44903-0179,
3/28/08,3172400,CALIBER TRAINING INSTITUTE,CALIBER TRAINING INSTITUTE,500 7TH AVENUE 2ND FLOOR,NEW YORK,NY,10018-6504,
3/29/90,767400,AMERICAN BEAUTY COLLEGE,AMERICAN BEAUTY COLLEGE,606 W WISCONSIN AVENUE,MILWAUKEE,WI,53203,
3/29/90,2295900,AMERICAN CAREER TRAINING TRAVEL SCHOOL,AMERICAN CAREER TRAINING TRAVEL SCHOOL,4699 NORTH FEDERAL HIGHWAY,POMPANO BEACH,FL,33064,
3/29/90,2308005,CAREY TECHNICAL INSTITUTE,BRANCH CAMPUS (FORMERLY ROBERT FINANCE INST),2437 NW TH ST,MIAMI,FL,33125,
3/29/90,2308006,CAREY TECHNICAL INSTITUTE,BRANCH CAMPUS (FORMERLY ROBERT FIANCE INST),4286 PALM AVE,HIALEAH,FL,33012,
3/29/90,2308007,CAREY TECHNICAL INSTITUTE,BRANCH CAMPUS (FORMERLY ROBERT FIANCE INST),17504 S DIXIE HWY,PERRINE,FL,33157,
3/29/90,2612100,GRAND FINALE NAIL & SKIN CARE ACADEMY,GRAND FINALE NAIL & SKIN CARE ACADEMY,4010 WEST STATE STREET,TAMPA,FL,33609,
3/29/91,2238604,BETTY OWEN SCHOOLS,BETTY OWEN SCHOOLS,915 BROADWAY,NEW YORK,NY,10010,
3/29/91,2305101,ACADIANA TECHNICAL COLLEGE,ACADIANA TECHL COLG,1015 6TH AVE,LAKE CHARLES,LA,70601,
3/29/91,2526401,NATIONAL TRUCK DRIVING SCHOOL,BRANCH CAMPUS,5990 COLG ST,BEAUMONT,TX,77707,
3/29/91,2597500,CUTTERS HAIR BEAUTY SCHOOL,CUTTERS HAIR BEAUTY SCHOOL,3611 E INDIAN SCHL RD,PHOENIX,AZ,85018,
3/29/91,3028300,LAWTON SCHOOL,LAWTON SCHOOL,101 MARIETTA TOWER NORTHWEST 32ND FLOOR,ATLANTA,GA,30303,
3/29/93,3008000,DEMING SCHOOL OF BEAUTY CULTURE,DEMING SCHOOL OF BEAUTY CULTURE,111 NORTH IRON PO BOX 1817,DEMING,NM,88031,
3/29/96,1196300,DELTA JUNIOR COLLEGE,DELTA JUNIOR COLLEGE,7290 EXCHANGE PLACE,BATON ROUGE,LA,70806,
3/29/96,2114201,JOHNSON COLLEGE,JOHNSON TECHNICAL INSTITUTE,,PHILIPSBURG,PA,16866,
3/29/96,3075700,EURO-SKILL THERAPEUTIC TRAINING CTR,EURO-SKILL THERAPEUTIC TRAINING CTR,500 NE SPANISH RIVE BLVD,BOCA RATON,FL,33431,
3/29/97,2616300,FRAN BROWN COLLEGE OF BEAUTY,FRAN BROWN COLLEGE OF BEAUTY,521 WEST 600 N,LAYTON,UT,84041-3002,
3/29/02,168402,GREENVILLE COLLEGE,GREENVILLE COLLEGE - ROBERT MORRIS COLLEGE,3101 MONTVALE DRIVE MONTVALE PLAZA II,SPRINGFIELD,IL,62704-4296,
3/29/02,3101700,CAREER BLAZERS LEARNING CENTER,CAREER BLAZERS LEARNING CENTER,445 BROADHOLLOW ROAD STE. 19,MELVILLE,NY,11747-3601,
3/29/04,343622,LIMESTONE COLLEGE,LIMESTONE COLLEGE - DFAS,CHARLESTON NAVAL STATION 1545 TRUXTON AVENUE,NORTH CHARLESTON,SC,29405-1947,
3/29/04,352706,TUSCULUM COLLEGE,TUSCULUM COLLEGE - KINGSPORT RENAISSANCE CENTER,1200 EAST CENTER STREET,KINGSPORT,TN,37660-4958,
3/29/04,352714,TUSCULUM COLLEGE,TUSCULUM COLLEGE - DOBYNS BENNETT HIGH SCHOOL/KETRON MIDDLE SCHOOL,1800 LEGION DRIVE,KINGSPORT,TN,37664-2658,
3/29/04,352715,TUSCULUM COLLEGE,TUSCULUM COLLEGE - FORT SANDERS HOSPITAL,709 MIDDLE CREEK ROAD,SEVIERVILLE,TN,37862-5016,
3/29/04,352721,TUSCULUM COLLEGE,TUSCULUM COLLEGE - EXECUTIVE PARK SUITE #434,1241 VOLUNTEER PARKWAY,BRISTOL,TN,37620-4659,
3/29/04,352724,TUSCULUM COLLEGE,TUSCULUM COLLEGE - JEFFERSON COUNTY HIGH SCHOOL,115 WEST DUMPLIN VALLEY ROAD,DANDRIDGE,TN,37725-4501,
3/29/04,352727,TUSCULUM COLLEGE,TUSCULUM COLLEGE - BOWATER NEWSPRINT,5020 HIGHWAY 11 SOUTH,CALHOUN,TN,37309-5248,
3/29/04,352749,TUSCULUM COLLEGE,TUSCULUM COLLEGE - BARGER ELEMENTARY SCHOOL,4808 BRANIERD ROAD,CHATTANOOGA,TN,37411-9999,
3/29/04,352751,TUSCULUM COLLEGE,TUSCULUM COLLEGE - SWEETWATER TEACHERS CENTER,414 SOUTH HIGH STREET,SWEETWATER,TN,37874-9999,
3/29/04,352755,TUSCULUM COLLEGE,TUSCULUM COLLEGE - THE MALL AT JOHNSON CITY,2011 NORTH ROAN STREET,JOHNSON CITY,TN,37601-9999,
3/29/04,352756,TUSCULUM COLLEGE,TUSCULUM COLLEGE - HOLSTON VALLEY MEDICAL CENTER,914 BROAD STREET,KINGSPORT,TN,37660-9999,
3/29/04,352757,TUSCULUM COLLEGE,TUSCULUM COLLEGE - VOLUNTEER HIGH SCHOOL,105 VOLUNTEER STREET,CHURCH HILL,TN,37642-9999,
3/29/04,352758,TUSCULUM COLLEGE,TUSCULUM COLLEGE - HAPPY VALLEY ELEMENTARY SCHOOL,1840 MILLIGAN HIGHWAY,JOHNSON CITY,TN,37601-9999,
3/29/04,352762,TUSCULUM COLLEGE,TUSCULUM COLLEGE - BLOUNT MEMORIAL,907 E. LAMAR ALEXANDER PARKWAY,MARYVILLE,TN,37804-9999,
3/29/04,3105701,NEWBRIDGE COLLEGE - MONTEREY PARK,MONTEREY PARK COLLEGE - WALNUT CAMPUS,20265 VALLEY BOULEVARD SUITES F-L,WALNUT,CA,91789-2654,
3/29/08,2173300,DEVOE COLLEGE OF BEAUTY,DEVOE COLLEGE OF BEAUTY,750 BARTOW DRIVE,SIERRA VISTA,AZ,85635-1832,
3/29/08,2557400,STAR COLLEGE OF COSMETOLOGY,STAR COLLEGE OF COSMETOLOGY,705 NORTH UNIVERSITY DRIVE,NACOGDOCHES,TX,75961-4645,
3/29/09,3007402,LAKESIDE SCHOOL OF MASSAGE THERAPY,LAKESIDE SCHOOL OF MASSAGE THERAPY - MADISON,6121 ODANA ROAD,MADISON,WI,53719-1103,
3/29/11,224384,CENTRAL MICHIGAN UNIVERSITY,CENTRAL MICHIGAN UNIVERSITY - GEORGIA WEST CENTRAL TECHNICAL COLLEGE,WEST CENTRAL TECHNICAL COLLEGE 4600 TIMBER RIDGE DRIVE,DOUGLASVILLE,GA,30135-1225,
3/29/11,224388,CENTRAL MICHIGAN UNIVERSITY,CENTRAL MICHIGAN UNIVERSITY - NEW YORK VA NYHARBOR HEALTH CARE COHORT,BROOKLYN CAMPUS 7TH FLOOR EAST 800 POLY PLACE,BROOKLYN,NY,11209-7104,
3/30/90,956600,MID SOUTH SCHOOL OF BEAUTY,MID SOUTH SCHOOL OF BEAUTY,430 NORTH CLEVELAND,MEMPHIS,TN,38104,
3/30/90,1114901,CAPITAL CITY BUSINESS COLLEGE,CAPITAL CITY BUSINESS COLLEGE - (FREESTANDING),411 NORTH 10TH STREET SUITE 210,SAINT LOUIS,MO,63188,
3/30/90,2175000,SMT SCHOOL OF COSMETOLOGY & HAIRDESIGN,SMT SCHOOL OF COSMETOLOGY & HAIRDESIGN,75 PUBLIC SQUARE,WATERTOWN,NY,13601,
3/30/90,2193206,ULTISSIMA BEAUTY INSTITUTE AT HIALEAH,BRANCH CAMPUS,1395 COLUMBIA DR,DECATUR,GA,30032,
3/30/90,2341802,TECHNICAL TRAINING INSTITUTE,AUXILIARY CLASSROOM FACILITY,912 DATE STREET,TRUTH OR CONSEQUENCES,NM,87901,
3/30/90,2567800,CAPITAL CITY BUSINESS COLLEGE,CAPITAL CITY BUSINESS COLLEGE,411 NORTH 10TH STREET SUITE 210,ST LOUIS,MO,63188,
3/30/90,2567801,CAPITAL CITY BUSINESS COLLEGE,BRANCH CAMPUS,65TH & BUTLER RD,LITTLE ROCK,AR,72203,
3/30/90,2567802,CAPITAL CITY BUSINESS COLLEGE,BRANCH CAMPUS,908 BROADWAY,KANSAS CITY,MO,64105,
3/30/90,2618700,VOCATIONAL TRAINING CENTER,VOCATIONAL TRAINING CENTER,2126 EAST GRAND,SAINT LOUIS,MO,63107,
3/30/92,1047800,BLANTOS COLLEGE,BLANTOS COLLEGE,126 COLG ST,ASHEVILLE,NC,28801,
3/30/92,1047801,BLANTOS COLLEGE,EXTENSION COLG,POB 669,FLECHER,NC,28801,
3/30/92,1047802,BLANTOS COLLEGE,EXTENSION FACILITY,HWY 74 / I-95,LUMBERTON,NC,28358,
3/30/92,1047803,BLANTOS COLLEGE,EXTENSION,100 TERMINAL CT,CONCORD,NC,28025,
3/30/93,948208,MANSFIELD BUSINESS COLLEGE,BRANCH CAMPUS,740 WYNNEWOOD VLG SHG CTR,DALLAS,TX,75224,
3/30/93,2599604,MANSFIELD BUSINESS SCHOOL,BRANCH CAMPUS,740 WYNNEWOOD SHOPPING CENTER,DALLAS,TX,75224,
3/30/93,3069000,MTA SCHOOL,MTA SCHOOL,3405 N. 6TH STREET,HARRISBURG,PA,17110,
3/30/97,620000,JACKSON MEMORIAL HOSPITAL SCHOOL OF NURSING,JACKSON MEMORIAL HOSPITAL SCHOOL OF NURSING,1611 NW 12TH AVENUE,MIAMI,FL,33136,
3/30/98,2152300,SCHOOL OF COMMUNICATION ARTS,SCHOOL OF COMMUNICATION ARTS,3161 PARK AVENUE SOUTH,MINNEAPOLIS,MN,55407,
3/30/99,2538000,PROFESSIONAL BEAUTY COLLEGE OF CONROE,PROFESSIONAL BEAUTY COLLEGE OF CONROE,112 RHODES STREET,CONROE,TX,77301-4408,
3/30/01,1115911,SAWYER SCHOOL  (THE),SAWYER SCHOOL (THE),140 POINT JUDITH ROAD,NARRAGANSETT,RI,02882-3452,
3/30/03,136508,COLORADO STATE UNIVERSITY-PUEBLO,COLORADO STATE UNIVERSITY-PUEBLO - PIKES PEAK COMMUNITY COLLEGE,CENTENNIAL CAMPUS 5675 S. ACADEMY BLVD.,COLORADO SPRINGS,CO,80906-0000,
3/30/08,377520,EASTERN WASHINGTON UNIVERSITY,EASTERN WASHINGTON UNIVERSITY - WALLA WALLA C.C. DOWNTOWN CENTER,13 1/2 EAST MAIN STREET,WALLA WALLA,WA,99362-1950,
3/31/87,989001,VALLEY COMMERCIAL COLLEGE,VALLEY COMMERCIAL COLLEGE,1752 EAST BULLARD SUITE 101,FRESNO,CA,93710-5864,
3/31/87,1169100,COMPUTER LEARNING CENTER MAXWELL CAMPUS,COMPUTER LEARNING CENTER MAXWELL CAMPUS,2860 DEKALB PIKE,NORRISTOWN,PA,19401,
3/31/87,1240600,TAYLOR BUSINESS INST (CLOSED),TAYLOR BUSINESS INST (CLOSED),291 BUEHLER PL,PARAMUS,NJ,7652,
3/31/87,2277200,YDI SCHOOLS,YDI SCHOOLS,WATER STREET,BLUE HILL,ME,4614,
3/31/88,2114700,D'OR BEAUTY COLLEGE,D'OR BEAUTY COLLEGE,200 S STATE ST,CHICAGO,IL,60603,
3/31/88,2216900,DRAMA STUDIO LONDON,DRAMA STUDIO LONDON,2325 4TH ST,BERKELEY,CA,94710,
3/31/88,2251300,D'OR SCHOOL OF COSMETOLOGY,D'OR SCHOOL OF COSMETOLOGY,4816 N WESTERN AVE,CHICAGO,IL,60625,
3/31/89,1014801,COLORADO TECHNICAL UNIVERSITY,COLORADO TECHNOLOGY UNIVERSITY - EXTENSION FACILITY,3415 ABG/DPE,LOWRY AIR FORCE BASE,CO,80230-0000,
3/31/89,1039700,LAURENWOOD COLLEGE(CLOSED),LAURENWOOD COLLEGE(CLOSED),9719 LINCOLN VILLAGE DRIVE,SACRAMENTO,CA,95814,
3/31/89,1295200,FRANCO BEAUTY ACADEMY (CLOSED),FRANCO BEAUTY ACADEMY (CLOSED),856 5TH AVENUE,NEW KENSINGTON,PA,15068,
3/31/89,2151300,AMS COLLEGE,AMS COLLEGE,11015-A BLOOMFIELD AVENUE,SANTA FE SPRINGS,CA,90670,
3/31/89,2191900,COLORADO BARBER COLLEGE,COLORADO BARBER COLLEGE,3101 WEST 14TH AVENUE,DENVER,CO,80204,
3/31/89,2287500,CREATIVE INST OF DESIGN,CREATIVE INST OF DESIGN,1340 WILLAMETTE ST,EUGENE,OR,97401,
3/31/90,1114902,CAPITAL CITY BUSINESS COLLEGE,CAPITAL CITY BUSINESS COLLEGE,908 BROADWAY,KANSAS CITY,MO,64105,
3/31/90,1244800,AMBASSADOR COLLEGE,AMBASSADOR COLLEGE,300 WEST GREEN STREET,PASADENA,CA,91123,
3/31/90,2151400,COASTAL TRAINING INSTITUTE,COASTAL TRAINING INSTITUTE,77 UNIVERSITY BOULEVARD,MOBILE,AL,36608,
3/31/90,2151401,COASTAL TRAINING INSTITUTE,BRANCH CAMPUS,2001 CANAL STREET SUITE 101,NEW ORLEANS,LA,70112,
3/31/90,2151402,COASTAL TRAINING INSTITUTE,BRANCH CAMPUS,1809 GOVERNMENT STREET,MOBILE,AL,36606,
3/31/90,2151404,COASTAL TRAINING INSTITUTE,EXTENSION,336 WILSON AVENUE,PRICHARD,AL,36610,
3/31/90,2203202,CAREER POINT BUSINESS SCHOOL,BRANCH CAMPUS,4601 ST AVE,KANSAS CITY,KS,66102,
3/31/90,2617300,ANGELO PAVONE COSMETOLOGY TRAINING SYSTEM,ANGELO PAVONE COSMETOLOGY TRAINING SYSTEM,9059 JEFFERSON HWY,RIVER RIDGE,LA,70123,
3/31/90,2622400,MIDLAND CAREER INSTITUTE,MIDLAND CAREER INSTITUTE,3540 WILSHIRE BOULEVARD,LOS ANGELES,CA,90010-0000,
3/31/91,463201,SPENCER COLLEGE,BRANCH CAMPUS,10555 NW,HOUSTON,TX,77092,
3/31/91,1092601,BALIN INST OF TECHLGY,BRANCH CAMPUS,3355 MISSION AVE,OCEANSIDE,CA,92054,
3/31/91,2247400,CONSORTIUM OF THE CALIFORNIA STATE UNIVERSITY & COLLEGES,CONSORTIUM OF THE CALIFORNIA STATE UNIVERSITY & COLLEGES,400 GOLDEN SHORE,LONG BEACH,CA,90802,
3/31/92,1102700,PACIFIC BEAUTY COLLEGE,PACIFIC BEAUTY COLLEGE,7011 PACIFIC AVENUE,HUNTINGTON PARK,CA,90255,
3/31/92,2093500,SOUTHWESTERN BUSINESS COLLEGE,SOUTHWESTERN BUSINESS COLLEGE,111 NORTH VIRGINIA,ROSWELL,NM,88201,
3/31/92,2096300,KALIX TRADE SCHOOL,KALIX TRADE SCHOOL,439 NORTH 11TH STREET,PHILADELPHIA,PA,19123,
3/31/92,2158104,GOLDEN STATE SCHOOL,BRANCH,402 FARNEL RD,SANTA MARIA,CA,93454,
